1、不做处理时
内存数据变化：
	4.99269485473632,	4.98945999145507,	4.98317718505859,	4.99202728271484,	4.98688507080078,	4.98490905761718,	5.16588973999023,	5.37707901000976,	5.63764953613281,	5.67367553710937,	5.68843460083007,	5.69052124023437,	5.69482040405273,	5.69282531738281,	5.69475173950195,	5.6955223083496,	5.69425201416015,	5.69521331787109,	5.69987869262695,	5.71728515625,	5.71906280517578,	5.73315048217773,	5.73309707641601,	5.74259185791015,	5.73816299438476,	5.73670196533203,	5.73627090454101,	5.73609542846679,	5.73591613769531,	5.73465728759765,	5.73094940185546,	5.73171234130859,	5.73160171508789,	5.73134613037109,	5.73103713989257,	5.73118209838867,	5.73114395141601,	5.7314338684082,	5.74026489257812,	5.73832321166992,	5.74665451049804,	5.74645614624023,	5.74328994750976,	5.7400894165039,	5.73957824707031,	5.74415588378906,	5.74337005615234,	5.74312210083007,	5.74195861816406,	5.74124526977539,
耗时：
开始时间：508477273483400, 结束时间：508477416275900, 耗时：0.1427925s
开始时间：508477562345200, 结束时间：508477700455900, 耗时：0.1381107s
开始时间：508520701113700, 结束时间：508521002065800, 耗时：0.3009521s
开始时间：508523330239700, 结束时间：508523457105600, 耗时：0.1268659s
开始时间：508510727878000, 结束时间：508511326667800, 耗时：0.5987898s
开始时间：508500400190900, 结束时间：508501401646700, 耗时：1.0014558s
开始时间：508482315305300, 结束时间：508483389822700, 耗时：1.0745174s
开始时间：508515112011600, 结束时间：508515584728000, 耗时：0.4727164s
开始时间：508479699891200, 结束时间：508480264916900, 耗时：0.5650257s
开始时间：508479286513600, 结束时间：508479422944200, 耗时：0.1364306s
开始时间：508515584793300, 结束时间：508516041982100, 耗时：0.4571888s
开始时间：508483389851600, 结束时间：508484500113400, 耗时：1.1102618s
开始时间：508475265648600, 结束时间：508475414538400, 耗时：0.1488898s
开始时间：508477700479700, 结束时间：508478426653800, 耗时：0.7261741s
开始时间：508476859541500, 结束时间：508476998279000, 耗时：0.1387375s
开始时间：508506927174400, 结束时间：508507776572800, 耗时：0.8493984s
开始时间：508494489407500, 结束时间：508495449422100, 耗时：0.9600146s
开始时间：508517740151600, 结束时间：508518181338200, 耗时：0.4411866s
开始时间：508495449456900, 结束时间：508496382681100, 耗时：0.9332242s
开始时间：508522930002600, 结束时间：508523084772300, 耗时：0.1547697s
开始时间：508523084799700, 结束时间：508523213049700, 耗时：0.12825s
开始时间：508476057432400, 结束时间：508476185055700, 耗时：0.1276233s
开始时间：508498295467400, 结束时间：508499313182400, 耗时：1.017715s
开始时间：508513031651700, 结束时间：508513572602300, 耗时：0.5409506s
开始时间：508518181378500, 结束时间：508518569831900, 耗时：0.3884534s
开始时间：508477416298900, 结束时间：508477562322700, 耗时：0.1460238s
开始时间：508523677025100, 结束时间：508523709729400, 耗时：0.0327043s
开始时间：508488706261800, 结束时间：508489708672400, 耗时：1.0024106s
开始时间：508518999503400, 结束时间：508519375189400, 耗时：0.375686s
开始时间：508476316099100, 结束时间：508476456911500, 耗时：0.1408124s
开始时间：508489708696000, 结束时间：508490640445300, 耗时：0.9317493s
开始时间：508479145847700, 结束时间：508479286487800, 耗时：0.1406401s
开始时间：508493501617600, 结束时间：508494489375100, 耗时：0.9877575s
开始时间：508479562284100, 结束时间：508479699867800, 耗时：0.1375837s
开始时间：508523567661200, 结束时间：508523627700200, 耗时：0.060039s
开始时间：508522776515300, 结束时间：508522929977800, 耗时：0.1534625s
开始时间：508521306983900, 结束时间：508521602761500, 耗时：0.2957776s
开始时间：508476658045500, 结束时间：508476859401600, 耗时：0.2013561s
开始时间：508516042013600, 结束时间：508516482577700, 耗时：0.4405641s
开始时间：508520078335500, 结束时间：508520374608600, 耗时：0.2962731s
开始时间：508475414559800, 结束时间：508475583009500, 耗时：0.1684497s
开始时间：508496382784100, 结束时间：508497355858200, 耗时：0.9730741s
开始时间：508506088846300, 结束时间：508506927132700, 耗时：0.8382864s
开始时间：508504291284200, 结束时间：508505179384800, 耗时：0.8881006s
开始时间：508519719317900, 结束时间：508520078309900, 耗时：0.358992s
开始时间：508476456945300, 结束时间：508476657972200, 耗时：0.2010269s
开始时间：508479007717800, 结束时间：508479145818700, 耗时：0.1381009s
开始时间：508485588884300, 结束时间：508486689850200, 耗时：1.1009659s
开始时间：508505179424200, 结束时间：508506088812800, 耗时：0.9093886s
开始时间：508514102012400, 结束时间：508514616577500, 耗时：0.5145651s
开始时间：508512479199400, 结束时间：508513031624100, 耗时：0.5524247s
开始时间：508516910612900, 结束时间：508517336882700, 耗时：0.4262698s
开始时间：508523213085600, 结束时间：508523330195100, 耗时：0.1171095s
开始时间：508499313349200, 结束时间：508500400122700, 耗时：1.0867735s
开始时间：508476998307300, 结束时间：508477140655600, 耗时：0.1423483s
开始时间：508501401685400, 结束时间：508502407395500, 耗时：1.0057101s
开始时间：508474366803200, 结束时间：508474609828900, 耗时：0.2430257s
开始时间：508502407426800, 结束时间：508503352569300, 耗时：0.9451425s
开始时间：508513572629700, 结束时间：508514101981700, 耗时：0.529352s
开始时间：508510623753200, 结束时间：508510727839400, 耗时：0.1040862s
开始时间：508507776610500, 结束时间：508508622818100, 耗时：0.8462076s
开始时间：508503352595300, 结束时间：508504291203500, 耗时：0.9386082s
开始时间：508521877562700, 结束时间：508522154508300, 耗时：0.2769456s
开始时间：508475583056000, 结束时间：508476057407400, 耗时：0.4743514s
开始时间：508480293729700, 结束时间：508482315275800, 耗时：2.0215461s
开始时间：508476185080500, 结束时间：508476315994000, 耗时：0.1309135s
开始时间：508522154538900, 结束时间：508522354946000, 耗时：0.2004071s
开始时间：508478565834600, 结束时间：508478700687400, 耗时：0.1348528s

3、解析并计算及加入map
内存变化：
	5.02141952514648,	5.32044601440429,	5.56680679321289,	5.72199249267578,	5.83344650268554,	6.07738876342773,	6.13640594482421,	6.14064025878906,	6.13788604736328,	6.15200424194335,	6.15947341918945,	6.1915168762207,	6.2579345703125,	6.25945281982421,	6.25920104980468,	6.27362823486328,	6.29151153564453,	6.29451751708984,	6.32475662231445,	6.3389549255371,	6.35460662841796,	6.35296249389648,	6.3544921875,	6.36636734008789,	6.36824798583984,	6.3840217590332,	6.4610366821289,	6.5066795349121,	6.50815200805664,	6.52022171020507,	6.52644348144531,	6.52606201171875,	6.49500274658203,	6.4795799255371,	6.48483276367187,	6.4906997680664,	6.50040054321289,	6.49930953979492,	6.50397109985351,	6.51636886596679,	6.54041671752929,	6.63406372070312,	6.63944244384765,	6.64076232910156,	6.70226287841796,	6.71132659912109,	6.71078491210937,	6.71131515502929,	6.8299331665039,	6.82951354980468,


耗时：
开始时间：508788094914200, 结束时间：508788490443700, 耗时：0.3955295s
开始时间：508769741826800, 结束时间：508770557435700, 耗时：0.8156089s
开始时间：508778131980300, 结束时间：508778821483000, 耗时：0.6895027s
开始时间：508789285463500, 结束时间：508789760547900, 耗时：0.4750844s
开始时间：508738264412000, 结束时间：508738402397400, 耗时：0.1379854s
开始时间：508784236246100, 结束时间：508784801197700, 耗时：0.5649516s
开始时间：508794297133600, 结束时间：508794376070500, 耗时：0.0789369s
开始时间：508752759196900, 结束时间：508753773190700, 耗时：1.0139938s
开始时间：508745118932100, 结束时间：508746249709600, 耗时：1.1307775s
开始时间：508785773707800, 结束时间：508786315441200, 耗时：0.5417334s
开始时间：508777463911200, 结束时间：508778131491600, 耗时：0.6675804s
开始时间：508736739261900, 结束时间：508736849587900, 耗时：0.110326s
开始时间：508794469716300, 结束时间：508794510563800, 耗时：0.0408475s
开始时间：508738138466700, 结束时间：508738264400600, 耗时：0.1259339s
开始时间：508737049456300, 结束时间：508737175563000, 耗时：0.1261067s
开始时间：508787691514300, 结束时间：508788094893100, 耗时：0.4033788s
开始时间：508749614029000, 结束时间：508750666489900, 耗时：1.0524609s
开始时间：508791321100200, 结束时间：508791587773900, 耗时：0.2666737s
开始时间：508739877530400, 结束时间：508742728560100, 耗时：2.8510297s
